no,transformed,original-for,transformation
19,sampe,sampai,sound-alter
29,dgn,dengan,disemvoweling
32,org,orang,disemvoweling
34,karna,karena,disemvoweling
35,tu,itu,disemvoweling
39,haha,hahaha,shorten
40,jd,jadi,disemvoweling
42,jg,juga,disemvoweling
47,resto,restoran,shorten
48,jgn,jangan,disemvoweling
49,trus,terus,disemvoweling
54,mba,mbak,shorten
58,rs,rumah sakit,acronym
59,sm,sama,disemvoweling
60,dg,dengan,disemvoweling
61,tdk,tidak,disemvoweling
62,sdh,sudah,disemvoweling
63,makasih,terima kasih,shorten
67,jln,jalan,disemvoweling
71,rm,rumah makan,acronym
73,skrg,sekarang,disemvoweling
74,krn,karena,disemvoweling
75,blm,belum,disemvoweling
76,tetep,tetap,sound-alter
79,kemana,ke mana,space-dash
80,yaaa,ya,sound-alter
82,malem,malam,sound-alter
83,sy,saya,disemvoweling
84,komplek,kompleks,shorten
86,cm,cuma,disemvoweling
88,segini,sebegini,shorten
92,bs,bisa,disemvoweling
94,adek,adik,sound-alter
95,kab,kabupaten,acronym
97,mulu,melulu,shorten
99,ngantuk,mengantuk,affixation
101,hahahaha,hahaha,sound-alter
102,milih,memilih,affixation
103,ntar,sebentar,shorten
104,seneng,senang,sound-alter
105,belom,belum,sound-alter
108,ongkir,ongkos kirim,acronym
110,males,malas,sound-alter
111,sholat,salat,sound-alter
115,kemaren,kemarin,sound-alter
117,ngapain,sedang apa,affixation
119,nyari,mencari,affixation
120,kec,kecamatan,acronym
121,aq,aku,sound-alter
124,bio,biodata,acronym
125,kesini,ke sini,space-dash
126,dpt,dapat,disemvoweling
127,tpi,tetapi,disemvoweling
128,asik,asyik,shorten
129,dlu,dulu,disemvoweling
130,ngerti,mengerti,affixation
131,bg,bang,disemvoweling
133,cepet,cepat,sound-alter
134,inget,ingat,sound-alter
135,warkop,warung kopi,acronym
137,1009mb,1009 mb,space-dash
139,maen,main,sound-alter
141,dirumah,di rumah,space-dash
144,diatas,di atas,space-dash
145,msh,masih,disemvoweling
146,disana,di sana,space-dash
147,ad,ada,disemvoweling
148,ustadz,ustaz,shorten
151,dejavu,deja vu,space-dash
152,26c,26 c,space-dash
153,eu,eropa,acronym
154,kl,kalau,disemvoweling
155,kerjaan,pekerjaan,shorten
158,trs,terus,disemvoweling
160,27c,27 c,space-dash
161,prov,provinsi,acronym
162,25c,25 c,space-dash
163,kasian,kasihan,shorten
166,dri,dari,disemvoweling
170,jdi,jadi,disemvoweling
174,28c,28 c,space-dash
175,makeup,make up,space-dash
177,st,stasiun,acronym
180,disaat,di saat,space-dash
181,jan,januari,acronym
182,masi,masih,shorten
183,td,tadi,disemvoweling
184,dibawah,di bawah,space-dash
186,teman2,teman-teman,space-dash
187,5kmh,5 kmh,space-dash
188,hmmm,hmm,shorten
189,anak2,anak-anak,space-dash
190,kaltim,kalimantan timur,acronym
191,ngobrol,mengobrol,affixation
192,aj,saja,shorten
193,laper,lapar,disemvoweling
194,1008mb,1008 mb,space-dash
195,fb,facebook,acronym
196,orang2,orang-orang,space-dash
197,cowo,cowok,shorten
198,insyaallah,insya allah,space-dash
199,24c,24 c,space-dash
201,ngajak,mengajak,affixation
206,dll,dan lain-lain,acronym
207,mm,hmm,shorten
210,fm,football manager,acronym
212,1011mb,1011 mb,space-dash
217,okay,oke,sound-alter
218,slalu,selalu,disemvoweling
219,keliatan,kelihatan,shorten
220,cobain,mencoba,affixation
223,baper,bawa perasaan,acronym
224,ngerasa,merasa,affixation
225,huhu,huhuhu,shorten
226,29c,29 c,space-dash
228,adha,ada,sound-alter
229,diantara,di antara,space-dash
231,tiba2,tiba-tiba,space-dash
232,komen,komentar,shorten
234,pinter,pintar,sound-alter
235,ultah,ultang tahun,acronym
237,nemu,menemukan,affixation
239,ilang,hilang,shorten
240,smoga,semoga,disemvoweling
241,yaallah,ya allah,space-dash
242,nambah,menambah,affixation
247,diluar,di luar,space-dash
248,dj,disk jokey,acronym
252,bodo,bodoh,shorten
253,ato,atau,sound-alter
254,tl,timeline,acronym
255,mager,malas bergerak,acronym
256,wkwkwkw,hahaha,sound-alter
258,hj,haji,disemvoweling
259,thn,tahun,disemvoweling
260,shalat,salat,sound-alter
262,ttg,tentang,disemvoweling
263,jga,juga,disemvoweling
264,mt,mati,disemvoweling
266,ttp,tetap,disemvoweling
267,smua,semua,disemvoweling
268,bucin,budak cinta,acronym
269,hahah,hahaha,shorten
270,curhat,curahan hati,acronym
271,indo,indonesia,shorten
276,bkn,bukan,disemvoweling
277,poto,foto,sound-alter
279,sempet,sempat,sound-alter
280,jkt,jakarta,disemvoweling
281,nobar,nonton bareng,acronym
282,skrng,sekarang,disemvoweling
284,bosen,bosan,disemvoweling
285,sebenernya,sebenarnya,sound-alter
287,lbh,lebih,disemvoweling
288,kepikiran,terpikir,affixation
289,des,desember,acronym
290,syg,sayang,disemvoweling
291,gara2,gara-gara,space-dash
292,barokah,berkah,sound-alter
294,pingin,ingin,sound-alter
295,sama2,sama-sama,space-dash
301,warunk,warung,sound-alter
303,nyobain,mencoba,affixation
304,jateng,jawa tengah,acronym
308,ngumpul,berkumpul,affixation
309,0kmh,0 kmh,space-dash
310,nemenin,menemani,affixation
313,alloh,allah,sound-alter
316,kedepan,ke depan,space-dash
321,kanwil,kantor wilayah,acronym
323,dtg,datang,disemvoweling
324,feb,februari,acronym
325,sumsel,sumatera selatan,acronym
329,kalbar,kalimantan barat,acronym
330,mikirin,memikirkan,affixation
333,kesana,ke sana,space-dash
334,iyaaa,iya,sound-alter
337,30c,30 c,space-dash
338,bgst,bangsat,disemvoweling
339,nnti,nanti,disemvoweling
340,disitu,di situ,space-dash
341,mw,mau,sound-alter
342,dipake,dipakai,sound-alter
343,nov,november,acronym
345,pp,pulang-pergi,acronym
347,satu2nya,satu-satunya,space-dash
352,ngerasain,merasakan,affixation
353,sya,saya,disemvoweling
354,hrs,harus,disemvoweling
355,23c,23 c,space-dash
357,postingan,post,shorten
360,plg,pulang,disemvoweling
361,ayok,ayo,sound-alter
363,byk,banyak,disemvoweling
364,sambel,sambal,sound-alter
365,ijo,hijau,sound-alter
368,apa2,apa-apa,space-dash
369,pagi2,pagi-pagi,space-dash
371,berfikir,berpikir,sound-alter
372,didalam,di dalam,space-dash
374,makasi,terima kasih,shorten
375,tdr,tidur,disemvoweling
376,ngeluh,mengeluh,affixation
380,bukber,buka bersama,acronym
381,ditempat,di tempat,space-dash
385,kerasa,terasa,affixation
386,gegara,gara-gara,shorten
387,serem,seram,sound-alter
388,kp,kerja praktek,acronym
389,mutualan,mutual,affixation
390,31c,31 c,space-dash
395,yaaaa,ya,sound-alter
396,dimanapun,di mana pun,space-dash
398,nyoba,mencoba,affixation
399,hahahah,hahaha,sound-alter
401,gemes,gemas,sound-alter
